FID,SOURCE_ID,CLUSTER_ID,COLOR_ID,user_cases
0,0,1,2,24
1,1,1,2,25
2,2,1,2,20
3,3,2,3,28
4,4,2,3,27
5,5,2,3,21
6,6,-1,-1,31
7,7,3,4,30
8,8,2,3,35
9,9,3,4,34
10,10,4,5,36
11,11,4,5,37
12,12,3,4,38
13,13,4,5,39
14,14,5,1,40
15,15,-1,-1,32
16,16,3,4,41
17,17,6,6,44
18,18,1,2,43
19,19,-1,-1,46
20,20,5,1,42
21,21,4,5,48
22,22,3,4,50
23,23,3,4,47
24,24,3,4,52
25,25,3,4,51
26,26,4,5,49
27,27,3,4,55
28,28,7,7,54
29,29,2,3,19
30,30,3,4,58
31,31,4,5,53
32,32,8,8,57
33,33,-1,-1,59
34,34,7,7,60
35,35,-1,-1,62
36,36,9,1,61
37,37,3,4,63
38,38,3,4,65
39,39,3,4,66
40,40,9,1,67
41,41,3,4,70
42,42,9,1,64
43,43,3,4,68
44,44,6,6,72
45,45,1,2,71
46,46,2,3,74
47,47,3,4,73
48,48,-1,-1,78
49,49,3,4,75
50,50,6,6,79
51,51,1,2,80
52,52,3,4,77
53,53,4,5,82
54,54,3,4,84
55,55,1,2,83
56,56,6,6,85
57,57,4,5,86
58,58,3,4,89
59,59,1,2,88
60,60,1,2,91
61,61,3,4,92
62,62,3,4,90
63,63,4,5,93
64,64,2,3,81
65,65,4,5,94
66,66,8,8,95
67,67,8,8,97
68,68,4,5,96
69,69,9,1,98
70,70,2,3,100
71,71,9,1,99
72,72,4,5,101
73,73,4,5,102
74,74,4,5,14
